t,S,I,R,D,beta_const,gamma_const,mu_const,R0_const
82.0,5979333.0,10545.346,8629.396,1549.8083,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
83.0,5979094.5,10635.6875,8755.01,1569.9656,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
84.0,5978848.0,10729.214,8884.57,1590.4977,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
85.0,5978592.5,10826.842,9018.719,1611.4242,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
86.0,5978326.0,10929.651,9158.188,1632.7654,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
87.0,5978046.5,11038.862,9303.806,1654.543,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
88.0,5977752.5,11155.836,9456.479,1676.7783,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
89.0,5977441.5,11282.013,9617.169,1699.4902,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
90.0,5977111.5,11418.866,9786.866,1722.6917,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
91.0,5976760.5,11567.797,9966.525,1746.3867,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
92.0,5976386.0,11730.037,10157.019,1770.5667,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
93.0,5975986.5,11906.538,10359.07,1795.2064,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
94.0,5975560.5,12097.869,10573.208,1820.2637,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
95.0,5975108.0,12304.17,10799.733,1845.6792,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
96.0,5974628.5,12525.156,11038.725,1871.3818,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
97.0,5974122.5,12760.158,11290.068,1897.2966,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
98.0,5973590.0,13008.213,11553.51,1923.3541,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
99.0,5973033.0,13268.14,11828.693,1949.502,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
100.0,5972452.5,13538.609,12115.202,1975.7124,0.03197554798005259,0.02179159630818056,0.0064538390593016914,1.1320607228757624
