t,S,I,R,D,beta,gamma,mu,R0
106.0,5968529.5,13706.047,13977.623,2294.59,0.053607624,0.0249912,0.0031039268,1.9080756
107.0,5967862.0,14049.737,14301.961,2330.986,0.05419032,0.02527985,0.0030112953,1.9154515
108.0,5967168.0,14408.969,14638.854,2367.8364,0.054769497,0.025571212,0.0029187351,1.9224148
109.0,5966447.0,14784.377,14989.104,2405.1382,0.05534474,0.025865272,0.002826667,1.92893
110.0,5965697.0,15176.592,15353.433,2442.8813,0.055915665,0.02616188,0.0027354897,1.9349742
111.0,5964916.5,15586.258,15732.718,2481.0647,0.05648176,0.02646096,0.00264557,1.9405184
112.0,5964103.5,16014.078,16127.833,2519.6785,0.05704255,0.026762396,0.0025572479,1.9455403
113.0,5963256.5,16460.715,16539.734,2558.7158,0.0575975,0.027066052,0.0024708242,1.95002
114.0,5962374.0,16926.852,16969.383,2598.1707,0.0581461,0.027371794,0.0023865642,1.9539418
115.0,5961453.5,17413.207,17417.86,2638.0354,0.058687758,0.027679458,0.0023047,1.9572922
116.0,5960493.5,17920.48,17886.213,2678.3022,0.059221935,0.027988866,0.00222542,1.960064
117.0,5959492.0,18449.39,18375.572,2718.962,0.059747946,0.028299853,0.0021488757,1.9622476
118.0,5958446.5,19000.635,18887.096,2760.0051,0.060265165,0.028612211,0.0020751834,1.963841
119.0,5957355.0,19574.945,19422.076,2801.4265,0.060772937,0.028925657,0.0020044297,1.9648485
120.0,5956215.0,20173.018,19981.764,2843.219,0.061270576,0.029240027,0.0019366622,1.9652689
121.0,5955025.0,20795.543,20567.463,2885.3708,0.061757278,0.029555008,0.0018719077,1.9651079
122.0,5953782.0,21443.219,21180.518,2927.8782,0.062232386,0.029870316,0.0018101603,1.9643766
123.0,5952484.0,22116.709,21822.342,2970.731,0.06269504,0.030185655,0.001751399,1.9630815
124.0,5951128.5,22816.648,22494.338,3013.9219,0.06314437,0.03050065,0.0016955764,1.961235
125.0,5949713.5,23543.66,23197.965,3057.4482,0.063579574,0.030814976,0.0016426295,1.9588498
126.0,5948236.0,24298.334,23934.664,3101.3042,0.06399973,0.031128228,0.0015924842,1.9559394
127.0,5946694.0,25081.186,24705.904,3145.4834,0.064403966,0.03143999,0.0015450597,1.9525199
128.0,5945085.5,25892.754,25513.21,3189.9807,0.06479128,0.031749815,0.0015002609,1.9486054
129.0,5943407.5,26733.443,26358.033,3234.7961,0.06516065,0.03205718,0.0014579863,1.9442137
130.0,5941659.0,27603.676,27241.81,3279.9285,0.06551115,0.032361627,0.0014181316,1.9393611
131.0,5939837.0,28503.736,28166.0,3325.3743,0.06584163,0.03266257,0.0013805956,1.9340631
132.0,5937940.0,29433.908,29132.053,3371.1377,0.06615113,0.03295946,0.0013452679,1.9283383
133.0,5935966.0,30394.361,30141.28,3417.2192,0.06643848,0.033251643,0.0013120413,1.922205
134.0,5933913.5,31385.195,31195.059,3463.6199,0.06670256,0.033538476,0.0012808144,1.9156784
135.0,5931781.0,32406.396,32294.59,3510.35,0.06694223,0.03381926,0.001251483,1.9087772
136.0,5929567.0,33457.895,33441.137,3557.4138,0.0671563,0.03409329,0.0012239487,1.9015162
137.0,5927270.5,34539.484,34635.848,3604.82,0.06734361,0.034359753,0.001198113,1.8939159
138.0,5924891.0,35650.926,35879.676,3652.5798,0.06750293,0.03461787,0.0011738837,1.8859911
139.0,5922427.0,36791.78,37173.598,3700.7036,0.06763311,0.034866825,0.0011511743,1.8777586
140.0,5919879.5,37961.586,38518.49,3749.2063,0.067732885,0.035105705,0.0011298954,1.8692359
141.0,5917247.0,39159.723,39915.074,3798.1035,0.06780107,0.035333574,0.0011099726,1.8604411
142.0,5914530.5,40385.492,41363.93,3847.4102,0.06783642,0.03554955,0.0010913283,1.8513862
143.0,5911729.5,41638.094,42865.65,3897.1494,0.06783785,0.03575261,0.0010738879,1.8420933
144.0,5908845.5,42916.6,44420.57,3947.339,0.06780414,0.03594175,0.0010575831,1.8325773
145.0,5905879.5,44219.973,46028.973,3998.0044,0.06773414,0.036115974,0.0010423542,1.822852
146.0,5902832.0,45547.133,47690.973,4049.1687,0.06762673,0.036274225,0.0010281354,1.8129344
147.0,5899705.0,46896.883,49406.633,4100.8574,0.06748094,0.036415428,0.0010148764,1.8028423
148.0,5896499.5,48267.867,51175.758,4153.0986,0.067295745,0.036538526,0.0010025174,1.7925912
149.0,5893218.5,49658.758,52998.137,4205.922,0.06707014,0.036642462,0.0009910137,1.7821937
150.0,5889863.0,51068.062,54873.367,4259.356,0.06680338,0.03672616,0.0009803176,1.7716684
151.0,5886436.5,52494.285,56800.992,4313.436,0.06649466,0.036788583,0.0009703845,1.7610295
152.0,5882941.5,53935.754,58780.227,4368.19,0.06614332,0.036828697,0.00096117257,1.7502923
153.0,5879380.0,55390.867,60810.426,4423.6543,0.065748826,0.036845535,0.00095264317,1.7394708
154.0,5875756.0,56857.84,62890.54,4479.86,0.0653107,0.03683813,0.0009447634,1.7285787
155.0,5872072.0,58334.934,65019.566,4536.843,0.06482871,0.03680566,0.00093749765,1.7176281
156.0,5868332.0,59820.24,67196.25,4594.6367,0.06430261,0.036747247,0.00093081,1.7066329
157.0,5864539.5,61311.918,69419.21,4653.2754,0.06373252,0.03666222,0.0009246796,1.6956046
158.0,5860698.5,62807.96,71686.945,4712.793,0.0631185,0.036549926,0.00091907085,1.6845528
159.0,5856812.5,64306.38,73997.75,4773.2188,0.06246091,0.036409855,0.0009139627,1.6734867
160.0,5852886.0,65805.14,76349.74,4834.5874,0.061760377,0.03624162,0.00090932846,1.6624172
161.0,5848923.0,67302.11,78740.945,4896.928,0.061017465,0.036044955,0.00090514723,1.6513476
162.0,5844928.5,68795.16,81169.15,4960.268,0.060233098,0.03581977,0.00090139214,1.640283
163.0,5840907.0,70282.02,83631.984,5024.6357,0.059408497,0.03556609,0.00089805125,1.6292306
164.0,5836863.0,71760.516,86126.93,5090.052,0.058544796,0.03528416,0.00089509785,1.6181867
165.0,5832801.5,73228.27,88651.24,5156.5396,0.057643544,0.034974396,0.00089251995,1.6071508
166.0,5828728.5,74683.02,91202.14,5224.119,0.05670644,0.034637332,0.0008902967,1.5961223
167.0,5824648.0,76122.34,93776.55,5292.8037,0.05573539,0.034273803,0.0008884162,1.5850931
168.0,5820566.0,77543.87,96371.4,5362.6084,0.054732393,0.033884734,0.0008868605,1.5740547
169.0,5816488.5,78945.164,98983.31,5433.5415,0.053699683,0.033471286,0.00088561774,1.5629954
170.0,5812419.5,80323.83,101609.03,5505.611,0.052639674,0.033034816,0.000884676,1.5519005
171.0,5808366.0,81677.414,104244.99,5578.819,0.05155493,0.0325768,0.0008840174,1.5407552
172.0,5804333.0,83003.58,106887.82,5653.1685,0.05044804,0.03209892,0.0008836359,1.5295371
173.0,5800326.0,84299.945,109533.86,5728.6533,0.04932184,0.031603023,0.00088351965,1.5182238
174.0,5796350.5,85564.234,112179.71,5805.269,0.04817922,0.03109108,0.0008836567,1.5067902
175.0,5792412.0,86794.195,114821.79,5883.005,0.0470231,0.030565143,0.00088403525,1.4952092
176.0,5788516.0,87987.695,117456.734,5961.8506,0.045856487,0.03002739,0.00088465214,1.4834507
177.0,5784667.0,89142.71,120081.195,6041.7896,0.044682425,0.0294801,0.00088549557,1.4714819
