S,I,R,D
363.571121,1.353488,604.833706,30.241685
363.521912,1.317427,604.914915,30.245746
363.474021,1.282321,604.993961,30.249698
363.427412,1.248143,605.070900,30.253545
363.382051,1.214871,605.145788,30.257289
363.337905,1.182481,605.218681,30.260934
363.294941,1.150948,605.289629,30.264481
363.253127,1.120252,605.358686,30.267934
363.212434,1.090370,605.425902,30.271295
363.172830,1.061280,605.491324,30.274566
