t,S,I,R,D,beta,gamma,mu,R0
144.0,60226564.0,25312.822,175154.48,34380.06,0.009692561,0.04724677,0.00088499783,0.20137554
145.0,60226316.0,24338.268,176330.89,34411.266,0.010176491,0.047465295,0.00085768703,0.2105932
146.0,60226068.0,23405.203,177466.25,34441.094,0.0106832795,0.047654226,0.0008312285,0.22033988
147.0,60225824.0,22513.121,178561.02,34469.625,0.011212271,0.04781148,0.00080558955,0.23062417
148.0,60225576.0,21661.393,179615.84,34496.94,0.011762809,0.047934964,0.00078074634,0.24145822
149.0,60225332.0,20849.406,180631.31,34523.09,0.0123341195,0.04802257,0.000756678,0.2528559
150.0,60225090.0,20076.447,181608.12,34548.15,0.012925487,0.048072115,0.0007333577,0.26483685
151.0,60224840.0,19341.705,182547.0,34572.188,0.013536047,0.048081517,0.0007107616,0.2774219
152.0,60224596.0,18644.424,183448.75,34595.25,0.014164995,0.04804866,0.00068886875,0.29063836
153.0,60224350.0,17983.674,184314.12,34617.41,0.014811318,0.047971487,0.00066765846,0.30451438
154.0,60224108.0,17358.58,185144.06,34638.715,0.015474152,0.047848016,0.00064710976,0.31908676
155.0,60223864.0,16768.15,185939.52,34659.223,0.016152423,0.047676384,0.0006272018,0.33439386
156.0,60223620.0,16211.44,186701.33,34678.99,0.016845148,0.047455013,0.00060791074,0.35048112
157.0,60223376.0,15687.434,187430.62,34698.055,0.017551195,0.04718238,0.0005892247,0.36739805
158.0,60223132.0,15195.09,188128.31,34716.477,0.018269371,0.046857223,0.0005711198,0.38519943
159.0,60222892.0,14733.432,188795.5,34734.293,0.018998574,0.046478674,0.00055357814,0.4039478
160.0,60222650.0,14301.396,189433.22,34751.56,0.019737583,0.046046063,0.0005365849,0.42371106
161.0,60222410.0,13897.998,190042.6,34768.312,0.020485085,0.045559213,0.00052012206,0.4445612
162.0,60222164.0,13522.241,190624.67,34784.586,0.021239828,0.045018345,0.0005041719,0.4665785
163.0,60221924.0,13173.125,191180.55,34800.43,0.022000473,0.044424087,0.0004887194,0.48984852
164.0,60221680.0,12849.751,191711.3,34815.867,0.022765677,0.043777645,0.00047374965,0.5144624
165.0,60221440.0,12551.17,192218.08,34830.95,0.02353407,0.043080717,0.00045924782,0.54051656
166.0,60221196.0,12276.567,192701.89,34845.69,0.024304282,0.042335495,0.00044519603,0.5681134
167.0,60220956.0,12025.022,193163.92,34860.125,0.02507491,0.04154481,0.00043158533,0.5973574
168.0,60220708.0,11795.825,193605.12,34874.285,0.025844466,0.04071194,0.0004183978,0.6283553
169.0,60220464.0,11588.225,194026.58,34888.19,0.026611637,0.039840713,0.00040562154,0.66121894
170.0,60220216.0,11401.492,194429.36,34901.86,0.027374934,0.038935423,0.00039324164,0.69605553
171.0,60219970.0,11235.041,194814.47,34915.32,0.028132956,0.038000792,0.00038125218,0.7329718
172.0,60219720.0,11088.277,195182.86,34928.598,0.028884362,0.037041843,0.00036963224,0.7720723
173.0,60219464.0,10960.682,195535.53,34941.688,0.029627722,0.03606397,0.0003583789,0.81344897
174.0,60219210.0,10851.758,195873.47,34954.625,0.030361664,0.03507264,0.0003474742,0.8571871
175.0,60218948.0,10761.084,196197.62,34967.402,0.031084847,0.0340735,0.0003369093,0.9033559
