t,S,I,R,D,beta,gamma,mu,R0
78.0,5765791.0,-8.70166,53099.02,3267.0466,0.020877827,0.030074049,0.00014944951,0.6907813
79.0,5765791.5,-8.616211,53098.81,3267.035,0.020866178,0.030074015,0.00014937625,0.6903983
80.0,5765791.5,-8.529785,53098.58,3267.023,0.020854594,0.030073984,0.00014930351,0.6900174
81.0,5765791.5,-8.446777,53098.38,3267.0112,0.020843066,0.030073954,0.00014923137,0.6896383
82.0,5765792.0,-8.364258,53098.16,3266.9995,0.020831602,0.030073922,0.0001491598,0.6892613
83.0,5765792.0,-8.282227,53097.94,3266.988,0.020820193,0.030073894,0.00014908874,0.6888861
84.0,5765792.0,-8.197754,53097.742,3266.9763,0.020808853,0.030073864,0.00014901825,0.68851316
85.0,5765792.5,-8.117676,53097.53,3266.9658,0.020797562,0.030073836,0.00014894833,0.6881418
86.0,5765792.5,-8.037109,53097.324,3266.9546,0.020786338,0.030073809,0.00014887894,0.68777263
87.0,5765793.0,-7.95459,53097.125,3266.9434,0.020775175,0.030073782,0.00014881013,0.68740547
88.0,5765793.0,-7.8710938,53096.914,3266.933,0.020764071,0.030073756,0.00014874188,0.6870402
89.0,5765793.0,-7.7939453,53096.715,3266.9224,0.020753022,0.030073732,0.00014867415,0.6866767
90.0,5765793.5,-7.715332,53096.52,3266.9119,0.020742046,0.030073708,0.00014860698,0.6863156
91.0,5765793.5,-7.6347656,53096.32,3266.9019,0.020731118,0.030073684,0.00014854035,0.68595606
92.0,5765793.5,-7.5585938,53096.13,3266.8918,0.020720255,0.030073661,0.00014847427,0.6855986
93.0,5765794.0,-7.4750977,53095.934,3266.8818,0.020709453,0.030073639,0.00014840876,0.68524325
94.0,5765794.0,-7.3999023,53095.742,3266.872,0.020698708,0.030073619,0.00014834375,0.6848896
95.0,5765794.0,-7.323242,53095.555,3266.8623,0.020688029,0.030073598,0.00014827933,0.6845382
96.0,5765794.5,-7.2470703,53095.367,3266.8528,0.02067741,0.030073578,0.0001482154,0.6841887
97.0,5765794.5,-7.1694336,53095.18,3266.8438,0.020666853,0.030073559,0.00014815206,0.6838412
98.0,5765794.5,-7.095215,53094.99,3266.8345,0.020656355,0.03007354,0.00014808922,0.6834957
99.0,5765794.5,-7.020508,53094.812,3266.8252,0.020645924,0.030073522,0.00014802696,0.68315244
100.0,5765795.0,-6.9438477,53094.63,3266.816,0.020635553,0.030073505,0.00014796521,0.682811
101.0,5765795.0,-6.868164,53094.45,3266.8079,0.020625237,0.03007349,0.00014790398,0.68247145
102.0,5765795.0,-6.7958984,53094.27,3266.799,0.020614985,0.030073473,0.00014784327,0.6821339
103.0,5765795.5,-6.7216797,53094.094,3266.7908,0.020604797,0.030073458,0.00014778315,0.6817985
104.0,5765795.5,-6.648926,53093.906,3266.7822,0.020594668,0.030073445,0.0001477235,0.68146497
105.0,5765795.5,-6.57959,53093.74,3266.7747,0.020584596,0.030073432,0.0001476644,0.68113333
106.0,5765795.5,-6.5043945,53093.562,3266.7664,0.020574592,0.03007342,0.00014760587,0.6808039
107.0,5765796.0,-6.4316406,53093.39,3266.7585,0.02056465,0.030073408,0.0001475478,0.6804765
108.0,5765796.0,-6.36084,53093.227,3266.7512,0.020554777,0.030073397,0.00014749028,0.68015134
109.0,5765796.0,-6.289551,53093.055,3266.744,0.020544954,0.030073388,0.00014743331,0.67982775
