t,S,I,R,D,beta,gamma,mu,R0
135.0,5833199.0,-0.20654297,25191.383,2271.4568,0.011768506,0.0301699,0.0002047392,0.38744512
136.0,5833199.0,-0.20214844,25191.383,2271.4602,0.011765852,0.030169317,0.00020403383,0.38737416
137.0,5833199.0,-0.19433594,25191.385,2271.4639,0.011763219,0.030168738,0.00020333477,0.38730377
138.0,5833199.0,-0.18896484,25191.385,2271.4673,0.011760607,0.030168163,0.00020264178,0.387234
139.0,5833199.0,-0.18164062,25191.385,2271.471,0.0117580155,0.03016759,0.00020195499,0.38716468
140.0,5833199.0,-0.1743164,25191.385,2271.4744,0.011755444,0.030167023,0.00020127423,0.38709593
141.0,5833199.0,-0.16796875,25191.385,2271.4778,0.011752894,0.030166458,0.00020059946,0.38702774
142.0,5833199.0,-0.1616211,25191.38,2271.481,0.011750364,0.030165898,0.0001999306,0.3869601
143.0,5833199.0,-0.15527344,25191.38,2271.4844,0.011747855,0.03016534,0.0001992677,0.386893
144.0,5833199.0,-0.14794922,25191.383,2271.4878,0.011745366,0.030164788,0.00019861053,0.3868265
145.0,5833199.0,-0.14111328,25191.383,2271.4912,0.011742897,0.030164238,0.00019795919,0.38676044
146.0,5833199.0,-0.13427734,25191.38,2271.4946,0.011740449,0.03016369,0.00019731358,0.386695
147.0,5833199.0,-0.12792969,25191.38,2271.4978,0.01173802,0.030163148,0.00019667353,0.3866301
148.0,5833199.0,-0.12207031,25191.38,2271.5012,0.0117356125,0.030162608,0.00019603927,0.38656572
149.0,5833199.0,-0.11425781,25191.379,2271.5046,0.011733225,0.030162072,0.00019541042,0.3865019
150.0,5833199.0,-0.107910156,25191.377,2271.5078,0.011730858,0.03016154,0.00019478715,0.38643864
151.0,5833199.0,-0.10107422,25191.377,2271.511,0.01172851,0.03016101,0.00019416928,0.3863759
152.0,5833199.0,-0.09375,25191.373,2271.5142,0.011726182,0.030160485,0.0001935568,0.3863137
153.0,5833199.0,-0.087402344,25191.373,2271.5176,0.011723874,0.030159961,0.00019294974,0.38625205
154.0,5833199.0,-0.080566406,25191.371,2271.5208,0.011721586,0.030159444,0.00019234788,0.38619092
155.0,5833199.0,-0.07324219,25191.37,2271.524,0.011719318,0.030158928,0.00019175131,0.38613033
