t,S,I,R,D,beta,gamma,mu,R0
111.0,5949943.5,0.6069336,12381.212,1666.6161,0.013200843,0.030005733,0.000119970515,0.438192
112.0,5949943.5,0.60302734,12381.212,1666.6155,0.013216712,0.030005725,0.000119907796,0.4387198
113.0,5949943.5,0.59814453,12381.212,1666.6149,0.0132326875,0.030005716,0.0001198455,0.43925112
114.0,5949943.5,0.5942383,12381.211,1666.6143,0.01324877,0.030005708,0.00011978364,0.43978602
115.0,5949943.5,0.58984375,12381.212,1666.6138,0.013264961,0.030005699,0.0001197222,0.4403245
116.0,5949943.5,0.5839844,12381.211,1666.6132,0.013281265,0.030005692,0.000119661185,0.4408667
117.0,5949943.5,0.5810547,12381.212,1666.6125,0.013297676,0.030005684,0.000119600576,0.44141248
118.0,5949943.5,0.5751953,12381.212,1666.612,0.013314201,0.030005675,0.0001195404,0.441962
119.0,5949943.5,0.5708008,12381.212,1666.6117,0.013330837,0.030005667,0.000119480625,0.44251522
120.0,5949943.5,0.56689453,12381.212,1666.6112,0.013347587,0.03000566,0.00011942126,0.44307223
121.0,5949943.5,0.5629883,12381.212,1666.6107,0.01336445,0.030005652,0.000119362296,0.443633
122.0,5949943.5,0.5571289,12381.213,1666.6105,0.013381429,0.030005643,0.000119303746,0.4441976
123.0,5949943.5,0.5527344,12381.213,1666.61,0.013398523,0.030005636,0.00011924562,0.444766
124.0,5949943.5,0.54785156,12381.213,1666.6097,0.013415736,0.030005628,0.00011918786,0.44533837
125.0,5949943.5,0.54345703,12381.215,1666.6095,0.013433063,0.03000562,0.00011913052,0.44591448
126.0,5949943.5,0.5385742,12381.216,1666.6091,0.013450511,0.030005613,0.000119073586,0.44649464
127.0,5949943.5,0.5336914,12381.216,1666.609,0.01346808,0.030005606,0.00011901704,0.4470788
128.0,5949943.5,0.5292969,12381.217,1666.6088,0.013485769,0.030005598,0.000118960874,0.4476669
129.0,5949943.5,0.52441406,12381.218,1666.6086,0.013503577,0.030005591,0.00011890509,0.448259
130.0,5949943.5,0.51904297,12381.219,1666.6084,0.01352151,0.030005584,0.000118849726,0.44885525
131.0,5949943.5,0.51464844,12381.221,1666.6084,0.013539566,0.030005576,0.00011879471,0.44945556
132.0,5949943.5,0.5097656,12381.222,1666.6083,0.013557743,0.030005569,0.0001187401,0.4500599
133.0,5949943.5,0.5048828,12381.223,1666.6083,0.013576048,0.030005561,0.00011868588,0.45066848
134.0,5949943.5,0.5,12381.225,1666.6083,0.013594478,0.030005554,0.00011863201,0.4512812
135.0,5949943.5,0.4951172,12381.227,1666.6083,0.013613039,0.030005546,0.00011857854,0.45189825
136.0,5949943.5,0.4897461,12381.228,1666.6084,0.013631724,0.030005539,0.00011852544,0.45251942
137.0,5949943.5,0.484375,12381.2295,1666.6085,0.01365054,0.030005531,0.00011847269,0.45314494
